,Gender,Organizes activities with his friends,What are your strengths among these,What activity do you do most frequently?,have difficulty understanding what you have read?,FavoriteSubject,FavoriteGame,IntelligenceType
1099,Female,Writes his diary or expresses his feelings in poems or only practices certain hobbies,Easily remember the rhythm or music of commercials,asks a lot of questions about how things work or about the causes of a phenomenon or event,Psychiatrist or Salesman or Counselor,foreign languages,Board games or card games,Inter Personnelle
1612,Male,Invent write and tell stories,Has a good sense of coordination and is skilled in many sporting or physical activities,asks a lot of questions about how things work or about the causes of a phenomenon or event,Journalist or lawyer,Physical education,Puzzle games or strategy games,Linguistic
965,Male,Writes his diary or expresses his feelings in poems or only practices certain hobbies,decides for himself what he think to do and tracks his personal interests alone,reacts strongly to controversial opinions,Artist or Architect,Maths,Board games or card games,Intra Personnelle
691,Female,Invent write and tell stories,Has a good sense of coordination and is skilled in many sporting or physical activities,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,Physical education,Building games or maze games or drawing guess games,Spatial
2869,Male,Gather and disassemble things,easily talks to people he does not know and easily perceives their feelings,asks a lot of questions about how things work or about the causes of a phenomenon or event,Gardener or Biologist,Physical education,Pet simulator,Naturalistic
4665,Male,Listen to music or plays an instrument,Easily remember the rhythm or music of commercials,listens to many styles of music often and repeats the song aloud,Journalist or lawyer,Music,Individual games,Musical
1452,Male,Organizes activities with his friends, has the ability to easily recognize birds plants and trees,watches movies and views pictures a lot,Psychiatrist or Salesman or Counselor,Biology and Earth,Board games or card games,Inter Personnelle
3706,Male,Draws or scribbles drawings and looks at pictures,Easily remember the rhythm or music of commercials,watches movies and views pictures a lot,Artist or Architect,Biology and Earth,Building games or maze games or drawing guess games,Spatial
1707,Female,Organizes activities with his friends,Has a good sense of coordination and is skilled in many sporting or physical activities,watches movies and views pictures a lot,Dancer or Athlete or Build,Arts,Sports games,Kinesthetic
789,Male,Gather and disassemble things,solve complex problems easily and have the ability to do mental math quickly,asks a lot of questions about how things work or about the causes of a phenomenon or event,Psychiatrist or Salesman or Counselor,Maths,Individual games,Logico Math̩matique
3543,Male,Draws or scribbles drawings and looks at pictures,easily talks to people he does not know and easily perceives their feelings,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,Biology and Earth,Building games or maze games or drawing guess games,Spatial
608,Male,Gather and disassemble things,expresses himself with a rich vocabulary,watches movies and views pictures a lot,Psychiatrist or Salesman or Counselor,Biology and Earth,Individual games,Linguistic
2024,Female,Gather and disassemble things,Has a good sense of coordination and is skilled in many sporting or physical activities,do sport activities regularly and continuously,Mathematics teacher or engineer,Arts,Sports games,Kinesthetic
2834,Female,Draws or scribbles drawings and looks at pictures,Has a good sense of coordination and is skilled in many sporting or physical activities,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,Arts,Building games or maze games or drawing guess games,Spatial
4828,Female,Gather and disassemble things,decides for himself what he think to do and tracks his personal interests alone,reacts strongly to controversial opinions,Dancer or Athlete or Build,Arts,Sports games,Kinesthetic
4819,Male,Gather and disassemble things, has the ability to easily recognize birds plants and trees,do sport activities regularly and continuously,Psychiatrist or Salesman or Counselor,Biology and Earth,Sports games,Kinesthetic
320,Female,Invent write and tell stories,expresses himself with a rich vocabulary,asks a lot of questions about how things work or about the causes of a phenomenon or event,Mathematics teacher or engineer,foreign languages,Puzzle games or strategy games,Linguistic
4844,Male,Gather and disassemble things,Has a good sense of coordination and is skilled in many sporting or physical activities,do sport activities regularly and continuously,Dancer or Athlete or Build,Music,Sports games,Kinesthetic
1453,Male,Perform scientific experiments,Easily remember the rhythm or music of commercials,asks a lot of questions about how things work or about the causes of a phenomenon or event,Psychiatrist or Salesman or Counselor,Maths,Sports games,Logico Math̩matique
1455,Male,Draws or scribbles drawings and looks at pictures,Has a good sense of coordination and is skilled in many sporting or physical activities,do sport activities regularly and continuously,Psychiatrist or Salesman or Counselor,Maths,Sports games,Kinesthetic
